Fichier, Temps Naif, Temps Welzl
test-1453.points, 48056, 158
test-1454.points, 44948, 493
test-1455.points, 56810, 441
test-1456.points, 46797, 432
test-1457.points, 48326, 353
test-1458.points, 44558, 261
test-1459.points, 52314, 338
test-146.points, 44771, 96
test-1460.points, 43419, 136
test-1461.points, 54319, 541
test-1462.points, 62464, 233
test-1463.points, 54435, 288
test-1464.points, 42815, 158
test-1465.points, 37657, 274
test-1466.points, 59520, 376
test-1467.points, 57801, 385
test-1468.points, 43421, 417
test-1469.points, 50225, 533
test-147.points, 34924, 411
test-1470.points, 41994, 190
test-1471.points, 31980, 335
test-1472.points, 30420, 185
test-1473.points, 38559, 121
test-1474.points, 49358, 264
test-1475.points, 34910, 496
test-1476.points, 44871, 250
test-1477.points, 37765, 386
test-1478.points, 51727, 141
test-1479.points, 39927, 158
test-148.points, 49785, 528
test-1480.points, 41327, 172
test-1481.points, 34785, 295
test-1482.points, 52570, 155
test-1483.points, 55399, 194
test-1484.points, 39410, 323
test-1485.points, 39999, 392
test-1486.points, 50219, 302
test-1487.points, 47865, 364
test-1488.points, 32060, 134
test-1489.points, 47755, 517
test-149.points, 33510, 132
test-1490.points, 49415, 956
test-1491.points, 53179, 511
test-1492.points, 113, 469
test-1493.points, 40605, 340
test-1494.points, 42451, 333
test-1495.points, 38018, 165
test-1496.points, 58268, 439
test-1497.points, 48493, 340
test-1498.points, 52498, 127
test-1499.points, 43836, 210
test-15.points, 51657, 580
test-150.points, 30817, 303
test-1500.points, 52063, 484
test-1501.points, 57717, 115
test-1502.points, 41178, 117
test-1503.points, 55151, 263
test-1504.points, 49512, 273
test-1505.points, 44448, 273
test-1506.points, 39012, 265
test-1507.points, 54525, 293
test-1508.points, 295, 231
test-1509.points, 40215, 197
test-151.points, 48964, 234
test-1510.points, 53568, 481
test-1511.points, 56573, 215
test-1512.points, 42770, 159
test-1513.points, 43615, 342
test-1514.points, 44067, 359
test-1515.points, 34197, 261
test-1516.points, 50718, 149
test-1517.points, 31457, 248
test-1518.points, 50835, 461
test-1519.points, 46411, 238
test-152.points, 38884, 243
test-1520.points, 33083, 383
test-1521.points, 46602, 493
test-1522.points, 61260, 306
test-1523.points, 35000, 341
test-1524.points, 37182, 160
test-1525.points, 41569, 305
test-1526.points, 45231, 432
test-1527.points, 38598, 339
test-1528.points, 48854, 444
test-1529.points, 52868, 432
test-153.points, 40329, 265
test-1530.points, 36766, 423
test-1531.points, 36773, 244
test-1532.points, 47219, 334
test-1533.points, 54150, 263
test-1534.points, 40217, 281
test-1535.points, 34009, 292
test-1536.points, 51771, 419
test-1537.points, 35397, 382
test-1538.points, 35257, 528
test-1539.points, 43612, 165
test-154.points, 42542, 525
test-1540.points, 34386, 241
test-1541.points, 42626, 392
test-1542.points, 47128, 218
test-1543.points, 54072, 95
test-1544.points, 53787, 188
test-1545.points, 45947, 262
test-1546.points, 58325, 628
test-1547.points, 50120, 179
test-1548.points, 48811, 1288
test-1549.points, 36542, 797
test-155.points, 34776, 708
test-1550.points, 50060, 600
test-1551.points, 45951, 675
test-1552.points, 41509, 232
test-1553.points, 38431, 269
test-1554.points, 35468, 425
test-1555.points, 42504, 366
test-1556.points, 36807, 415
test-1557.points, 41362, 448
test-1558.points, 52934, 341
test-1559.points, 42271, 277
test-156.points, 49374, 247
test-1560.points, 53434, 364
test-1561.points, 34564, 98
test-1562.points, 36506, 464
test-1563.points, 41422, 286
test-1564.points, 38732, 204
test-1565.points, 49205, 198
test-1566.points, 47145, 242
test-1567.points, 46085, 566
test-1568.points, 46612, 380
test-1569.points, 44226, 186
test-157.points, 39302, 237
test-1570.points, 32163, 379
test-1571.points, 39518, 321
test-1572.points, 52892, 475
test-1573.points, 46901, 429
test-1574.points, 56234, 260
test-1575.points, 52012, 718
test-1576.points, 57628, 597
test-1577.points, 50070, 704
test-1578.points, 59375, 144
test-1579.points, 50280, 331
test-158.points, 57332, 587
test-1580.points, 47848, 459
